Ranking,Ano,Filme,Distribuidor,Bilheteria (US$),Ref.
86,2015,Inside Out,Walt Disney Studios Motion Pictures,858 848 019,[90]
87,2018,Venom,Columbia Pictures,856 085 151,[91]
88,2017,Thor: Ragnarok,Walt Disney Studios Motion Pictures,855 301 806,[92]
89,2012,The Twilight Saga: Breaking Dawn – Part 2,Summit Entertainment,848 593 948,[93]
90,2009,Transformers: Revenge of the Fallen,Paramount Pictures,836 303 693,[94]
91,2023,Guardians of the Galaxy Vol. 3,Walt Disney Studios Pictures,"841 639,744",[95]
92,2002,Spider-Man,Columbia Pictures,825 025 036,[96]
93,2017,Wonder Woman,Warner Bros. Pictures,822 854 286,[97]
94,2021,"Hi, Mom",,822 009 764,[98]
95,1996,Independence Day,20th Century Fox,817 400 891,[99]
96,2017,Coco,Walt Disney Studios Motion Pictures,814 337 054,[100]
97,2016,Fantastic Beasts and Where to Find Them,Warner Bros. Pictures,814 044 001,[101]
98,2007,Shrek the Third,Paramount Pictures,813 367 380,[102]
99,2019,Jumanji: The Next Level,Sony Pictures Releasing,801 693 929,[103]
100,2004,Harry Potter and the Prisoner of Azkaban,Warner Bros. Pictures,797 660 766,[104]
